N_devices,Algorithm,Avg_Energy_J,Std_Energy_J,Avg_Time_ms,Std_Time_ms,Viol_Overall_pct,Viol_T1_pct,Viol_T2_pct,Viol_T3_pct
10,Dueling DQN,0.007832641076198093,0.03523329695377439,65.27944383957016,118.66923382978771,0.0,0.0,0.0,0.0
10,Greedy,0.42359037229629537,0.3186601731625806,1412.0356552180162,868.1880066376286,66.10000000000001,100.0,98.44609906118484,0.0
10,Round-Robin,0.3488853190791585,0.3337024698944539,1328.044641466897,1173.0493281937238,52.480000000000004,80.54474708171206,78.81967213114754,0.7678676904902539
10,Standard DQN,0.009426577636360041,0.04031733142908322,72.1784456188933,146.9784322770501,0.0,0.0,0.0,0.0
20,Dueling DQN,0.06439511471522907,0.1702634744951733,290.66439582253673,670.2879159676775,0.13999999999999999,0.0,0.0,0.4214328717639976
20,Greedy,0.45604274411992046,0.32517026318961945,1477.829017409022,883.7870616803216,64.7,99.54954954954955,98.59339221458947,0.0
20,Round-Robin,0.36812415462210385,0.3460659161542576,1361.3275818372138,1199.5534440813776,52.62,77.17391304347827,79.09660402242005,1.1235955056179776
20,Standard DQN,0.014887831801116413,0.06033665104606311,86.68535605481657,202.1617291806066,0.0,0.0,0.0,0.0
30,Dueling DQN,0.051457266995648,0.1532801525246319,201.75445000218232,465.4938075035152,0.0,0.0,0.0,0.0
30,Greedy,0.44694280642412704,0.3262139216766878,1478.0606752760832,878.3565651437282,65.10000000000001,100.0,98.51876234364714,0.0
30,Round-Robin,0.349682315023899,0.3363933202207609,1337.311869227908,1183.6143159406972,52.959999999999994,82.83261802575107,78.7467700258398,1.0173548773189707
30,Standard DQN,0.006114664900713665,0.027867210897184275,57.794157353134466,96.32534724754353,0.0,0.0,0.0,0.0
