episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
28,-3427.931237574008,-3018.865680664355,-3227.863277943547,-3124.4719692174112,-3488.0824434769124,-3257.4429217752468,177.6154184321306
29,-3227.8200234758424,-3318.488972232517,-3028.260539089737,-3169.2861680725414,-2920.560530726788,-3132.883246719485,141.99612409177757
30,-3427.5992449707014,-3121.847973250403,-3521.7305536822596,-3073.985541789352,-3473.2531078842803,-3323.6832843153993,187.33864274106313
31,-3325.980865069192,-2662.205589555231,-2926.8033347687933,-2919.7188406057303,-3018.6420346069303,-2970.6701329211755,213.64349950963805
32,-3376.72722918676,-2770.9887959937255,-3219.0987166470377,-2959.6255508163345,-3376.753480871576,-3140.6387547030863,239.6041607656571
33,-3327.328670530733,-3322.047835071006,-3120.7819341427276,-3022.144991797493,-2972.4937316809865,-3152.959432644589,148.1291311824738
34,-3172.1078892710652,-3067.4871095874805,-3074.4079497812804,-3213.6356026028634,-2970.8886703201724,-3099.705444312572,85.43294515331449
35,-3577.292355037589,-3375.5091882223282,-2983.384273391148,-3427.4969657334154,-3430.549760443273,-3358.8465085655507,199.41031286048636
36,-3326.9567294975045,-3159.9595632191463,-3677.1015490437007,-3374.6751698910207,-2921.3978270553903,-3292.018167741352,249.4558099606981
37,-3162.7567166537415,-3424.0722689792005,-3338.050628305592,-3320.4750947770085,-3223.4018551446734,-3293.7513127720435,91.39887516682002
38,-3733.9270033881703,-3114.649975572444,-3522.660214974557,-3170.844802123234,-3070.1854364311266,-3322.453486497907,260.461072194917
39,-3061.7103441483196,-3120.151910195795,-2773.6977252283054,-3320.7422540776865,-3121.8625856023405,-3079.6329638504894,176.33854163392766
40,-2866.803621191052,-3369.069092921854,-2976.622273469223,-3219.109822815706,-3224.5770351474134,-3131.2363691090495,182.66298205220656
41,-2931.6278288165613,-3321.691197485938,-3586.0846780621855,-3163.5598228016725,-3280.934537834787,-3256.779613000229,213.37873001410108
42,-2821.40597495202,-3064.2084952707223,-3528.8335646440455,-3369.537288199216,-3226.019909401757,-3202.001046493552,244.66474557445108
43,-3272.2020386744393,-3217.0752830689967,-2978.4575742199736,-2968.1905598614885,-3530.3735724982735,-3193.259805664634,208.44227447681516
44,-3266.7882620440378,-2767.6744350330036,-3226.2930297281537,-2966.875677663276,-3272.0288625937283,-3099.93205341244,200.760816158647
45,-3277.2668930802975,-3372.1844246201053,-3125.95462422697,-2761.4538659576865,-3235.5780471320463,-3154.487571003421,211.81688774824065
46,-3077.5749590364817,-2816.022823255961,-2918.769073859495,-2973.497441526481,-3394.094353819743,-3035.9917302996323,197.98972764378405
47,-3385.3530496280405,-2712.5324778368104,-3434.0134378273533,-3075.2679650641803,-3283.3789593613487,-3178.1091779435465,263.3844028054762
48,-3176.785798362178,-3360.2576626853515,-3385.031566629985,-2869.5745300206017,-3220.384784211361,-3202.4068683818955,184.40480678008967
49,-3124.8755892140694,-3170.0811219936695,-2828.5844744328147,-3116.5133609131112,-3371.6585508630233,-3122.342619483338,173.65001712427704
50,-3423.0463842652352,-3018.4213277237,-3131.74797313835,-2619.2771885596617,-3680.6025435491592,-3174.619083447221,361.2134208187561
51,-2971.010799843127,-3324.8070753830793,-3032.2019262354383,-3020.4518147493727,-2975.3990747813004,-3064.774138198464,132.2285985324715
52,-2675.9829281429975,-3311.1948150018866,-3280.460342384304,-3014.349465082316,-3327.7860655286104,-3121.954723228023,250.50833068140557
53,-3636.19082164974,-3019.5625154711743,-3392.3413107562446,-3069.315013955549,-3733.8768313533483,-3370.2572986372115,288.7838625945442
54,-2830.375994011439,-3020.375029792107,-3228.143439323468,-3379.748578437149,-3279.5182267042946,-3147.632253653692,197.2814661561429
55,-3691.9100199942286,-3528.88472714639,-3375.80892596525,-3724.11384045221,-3219.5621067090365,-3508.055924053423,190.5965067992334
56,-2825.25523944516,-3175.9694447267034,-3708.9781274884353,-3634.4357535135773,-2874.447887601651,-3243.8172905551055,370.1860787419391
57,-3021.75714562244,-3422.814281582435,-3028.2427673332418,-2983.8237461219246,-3681.901432041976,-3227.7078745404037,277.8632028802055
58,-2819.462046292843,-2916.8783363914727,-3120.3262426135593,-2966.188869136592,-3327.1569959125195,-3030.002498069397,177.57010527904734
59,-3428.4750691219474,-3066.0929567402723,-3579.6323813123536,-3575.6748057619957,-3279.8622492440672,-3385.9474924361266,194.3604317796944
60,-3065.930821959819,-3125.718920665914,-3644.02508592053,-2917.6271429379863,-3165.0660207189753,-3183.673598440645,245.06021976180685
61,-3023.276225550812,-3430.165871490458,-3385.196704984194,-3315.240094977513,-3324.392397037932,-3295.6542588081816,142.48543938388073
62,-3483.472892499095,-3326.5168743298877,-3172.4545888503994,-2821.160772313123,-3016.2700580115097,-3163.975037200803,231.47743399367226
63,-2974.244042425409,-3325.63573596713,-2926.5644399189196,-3116.0912931228695,-3374.026070581184,-3143.3123164031026,180.4302485854778
64,-3633.8739190435745,-3166.337117557807,-3075.4919134676857,-3115.804721680245,-2974.683689677509,-3193.238272285364,229.133022793631
65,-3336.2427947565056,-2812.1530615691604,-3281.52533607063,-3216.453742182856,-3272.5429735543353,-3183.783581626697,189.65868011472764
66,-3080.053741555691,-3271.015674030319,-3327.2975004731147,-2661.9892286581608,-3575.7413893666144,-3183.2195068167803,304.9144934256508
67,-3372.896189396054,-2507.186413716599,-3228.931849618673,-2966.4828064826706,-3521.101591742109,-3119.3197701912213,356.59804375415194
68,-3173.412001876859,-2764.9073253608476,-3275.1078058441776,-3072.3678442926603,-3623.342267751618,-3181.8274490252325,279.1097183755903
69,-2678.795464782229,-2814.37166486057,-3125.6811074186535,-2920.264935289294,-3170.8086478231876,-2941.9843640347867,185.54254371784683
70,-3426.140759617152,-3725.495699992637,-3525.5198890700453,-3217.6726473165045,-3320.6065504912976,-3443.0871092975276,174.72842985764643
71,-3324.5764080627027,-2967.4330828354255,-3632.484436788003,-3318.097048020053,-3378.828063024045,-3324.283807746046,212.2939024116225
