episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
122,-1078.3149737825308,-1253.5124021356428,-986.7238874403032,-989.0727014401771,-1346.3708040829254,-1130.7989537763158,145.00230105057906
123,-876.3188242500706,-725.652284285912,-1184.8207352376821,-1092.9740013013184,-981.1016805577531,-972.1735051265472,161.1534354813621
124,-982.0808155282293,-998.1204640591083,-1491.0396383238908,-983.1168755659352,-1131.6327657864122,-1117.198111852715,195.13061986411714
125,-1039.2797649263346,-888.5869869571328,-1078.9519843822104,-719.8187430115016,-1044.9053918357372,-954.3085742225834,134.3641874024155
126,-719.0265647307398,-625.0832054304442,-1127.1793189359003,-826.3675198514528,-1185.0456524396352,-896.5404522776344,222.06034986781535
127,-1287.321210764338,-1005.7375189604113,-1171.8727090380157,-982.5367213606823,-1284.5597633799919,-1146.405584700688,131.32621540951573
128,-1183.281298479205,-983.0128488332847,-1022.5419774766816,-670.5051863869741,-1201.4767776598956,-1012.163617767208,191.21124160138046
129,-1248.2063589890886,-1208.1936225684221,-1177.1828543702093,-928.8787975572727,-1343.855910875795,-1181.2635088721574,138.0996449245588
130,-875.7078952323664,-1147.8081777713671,-1555.0809673228985,-1198.4880972134788,-507.8747719769648,-1056.991981903415,349.50107290065387
131,-1036.684365433302,-719.3525433596077,-1121.9393561650893,-925.6919493209217,-1307.2210930657832,-1022.1778614689407,196.17601427876082
132,-1034.2647906379489,-941.0866491098988,-1233.279255143136,-836.6481588631613,-1226.8600671895495,-1054.4277841887388,156.46179425039278
133,-993.7263808804828,-1374.0428863933469,-1034.6062017410784,-772.8264153162661,-776.0298825907712,-990.2463533843891,220.1998234859045
134,-772.6663246958443,-1040.0336216314429,-1142.357975264482,-1295.4021250814565,-1283.1125690566607,-1106.7145231459774,191.8459167763359
135,-979.5081413714395,-1143.2256198301284,-979.1382551124784,-989.5309851368112,-988.711680966164,-1016.0229364834044,63.75274236703657
136,-1252.0722166947903,-679.2478568811742,-1283.7670463801853,-670.3176525209691,-827.7629285024752,-942.6335401959188,271.60544244957276
137,-886.6450934707628,-1258.1258582554603,-1022.5283901937939,-1193.8153945060424,-1093.8549263288583,-1090.9939325509836,130.35298035515527
138,-1253.686920986506,-828.9387296224564,-1757.7333528114366,-945.0384376877646,-1044.5920299523311,-1165.997894212099,327.11207991098985
139,-982.1760920099131,-987.43935983136,-819.2819230324063,-1200.1070822880495,-981.6752927745338,-994.1359499872526,121.11250025024295
140,-778.0442180173528,-825.2273001977524,-1450.3712489411669,-948.780411883006,-1189.1004689143076,-1038.304729590717,250.47566733314324
141,-927.4285128648522,-1102.8111642663553,-724.2572791322656,-1000.7457845183958,-974.8875299908459,-946.0260541545429,124.8487585426612
142,-1334.5076785881945,-882.8678625749441,-1187.8037602913992,-1093.7183609522124,-986.5238525965783,-1097.0843030006658,156.66748565965875
143,-1240.6207284475704,-1037.3558161148464,-1283.9928636179798,-974.9514718984112,-930.1486203401299,-1093.4139000837877,142.70360815221895
144,-832.6876311409233,-1049.0520444582273,-1143.0155931434203,-828.3393101107145,-674.5861195843362,-905.5361396875244,168.28397025011196
145,-1086.7860622531614,-1044.7013998491348,-1187.3283127970064,-961.2379024375023,-1661.3397071732586,-1188.2786769020126,247.48751085129467
