N_devices,Algorithm,Avg_Energy_J,Std_Energy_J,Avg_Time_ms,Std_Time_ms,Viol_Overall_pct,Viol_T1_pct,Viol_T2_pct,Viol_T3_pct
20,Dueling DQN,0.03871859972908225,0.1258298461720565,156.31776715739383,369.7283529144955,0.0,0.0,0.0,0.0
20,Dueling DQN,0.06439511471522907,0.1702634744951733,290.66439582253673,670.2879159676775,0.13999999999999999,0.0,0.0,0.4214328717639976
20,Greedy,0.45450900836047675,0.3285215011112688,1475.7383512137349,891.30754276387,66.58,100.0,98.73908826382153,0.0
20,Greedy,0.45604274411992046,0.32517026318961945,1477.829017409022,883.7870616803216,64.7,99.54954954954955,98.59339221458947,0.0
20,Round-Robin,0.36594607056237444,0.3443378452758183,1373.2992784173266,1220.3572142172334,52.959999999999994,81.44796380090497,78.36970474967909,1.5634395670475045
20,Round-Robin,0.36812415462210385,0.3460659161542576,1361.3275818372138,1199.5534440813776,52.62,77.17391304347827,79.09660402242005,1.1235955056179776
20,Standard DQN,0.0037310730773659926,0.015260314448398258,53.68069470378037,73.0380860676387,0.0,0.0,0.0,0.0
20,Standard DQN,0.014887831801116413,0.06033665104606311,86.68535605481657,202.1617291806066,0.0,0.0,0.0,0.0
50,Dueling DQN,0.04094536565883434,0.13241469736139547,180.00749945979308,445.61861592443597,0.0,0.0,0.0,0.0
50,Greedy,0.4268985762156752,0.31149005299902244,1428.7395847190285,845.3281670723427,64.7,100.0,98.26570680628272,0.0
50,Round-Robin,0.348088377012281,0.3371496165037659,1343.363387759181,1189.0398988627724,52.88,80.54474708171206,79.31713722915299,1.2374779021803182
50,Standard DQN,0.007753846141619886,0.03209460385571902,64.84641227198982,124.24588179208934,0.0,0.0,0.0,0.0
