N_devices,Algorithm,Avg_Energy_J,Std_Energy_J,Avg_Time_ms,Std_Time_ms,Viol_Overall_pct,Viol_T1_pct,Viol_T2_pct,Viol_T3_pct
20,Dueling DQN,0.06439511471522907,0.1702634744951733,290.66439582253673,670.2879159676775,0.13999999999999999,0.0,0.0,0.4214328717639976
20,Greedy,0.45604274411992046,0.32517026318961945,1477.829017409022,883.7870616803216,64.7,99.54954954954955,98.59339221458947,0.0
20,Round-Robin,0.36812415462210385,0.3460659161542576,1361.3275818372138,1199.5534440813776,52.62,77.17391304347827,79.09660402242005,1.1235955056179776
20,Standard DQN,0.014887831801116413,0.06033665104606311,86.68535605481657,202.1617291806066,0.0,0.0,0.0,0.0
30,Dueling DQN,0.047757032423075774,0.14356953253453783,186.8988710566983,432.3974956926063,0.0,0.0,0.0,0.0
30,Greedy,0.44708364673179857,0.3253628380542127,1479.3996646316486,875.9470575068949,64.9,100.0,98.58085808580857,0.0
30,Round-Robin,0.3556864724467953,0.3399029440475107,1347.517932003121,1181.317488946621,53.36,82.75862068965517,79.1869918699187,1.0216346153846154
30,Standard DQN,0.006572602822055742,0.028255428854248203,58.129719169404034,91.26670555979679,0.0,0.0,0.0,0.0
40,Dueling DQN,0.014558962596679353,0.06283447389489957,87.98945959408759,210.9366601361261,0.0,0.0,0.0,0.0
40,Greedy,0.4298568054867741,0.3164318613921165,1450.6305065101794,864.1481306819888,65.52,99.19354838709677,98.82583170254404,0.0
40,Round-Robin,0.34627672733393294,0.33343413294307495,1355.0186075977858,1222.656362798747,53.44,81.22605363984674,78.85862516212711,1.6918429003021147
40,Standard DQN,0.004348321064564798,0.02531696471125694,53.759270134903375,89.06916284158663,0.0,0.0,0.0,0.0
