N_devices,Algorithm,Avg_Energy_J,Std_Energy_J,Avg_Time_ms,Std_Time_ms,Viol_Overall_pct,Viol_T1_pct,Viol_T2_pct,Viol_T3_pct
20,Dueling DQN,0.06439511471522907,0.1702634744951733,290.66439582253673,670.2879159676775,0.13999999999999999,0.0,0.0,0.4214328717639976
20,Greedy,0.45604274411992046,0.32517026318961945,1477.829017409022,883.7870616803216,64.7,99.54954954954955,98.59339221458947,0.0
20,Round-Robin,0.36812415462210385,0.3460659161542576,1361.3275818372138,1199.5534440813776,52.62,77.17391304347827,79.09660402242005,1.1235955056179776
20,Standard DQN,0.014887831801116413,0.06033665104606311,86.68535605481657,202.1617291806066,0.0,0.0,0.0,0.0
40,Dueling DQN,0.0033759524404044358,0.01208023534669226,49.572566051257176,56.76135433799511,0.0,0.0,0.0,0.0
40,Greedy,0.43069866893143355,0.31696426529875715,1451.6510175168962,863.2778528766355,66.18,99.2,98.86950904392765,0.0
40,Round-Robin,0.3506440637365581,0.3352768631009269,1350.2069684963776,1206.854016828354,53.480000000000004,78.68852459016394,78.85787616297722,1.464307504575961
40,Standard DQN,0.011926285002943831,0.05050520583285233,81.64538760905268,198.60861025355882,0.0,0.0,0.0,0.0
60,Dueling DQN,0.029946209634165718,0.11609437495008422,158.13694399896926,438.2365516379678,0.02,0.0,0.0,0.06101281269066504
60,Greedy,0.4224176405818084,0.3156386353132705,1428.0809394719472,863.218467565522,65.2,100.0,98.6156888595913,0.0
60,Round-Robin,0.33941514974808007,0.3337729856471874,1316.5388516253797,1188.7503967725063,51.88,78.125,79.0,1.3761467889908259
60,Standard DQN,0.008072903025882178,0.03497111003819034,72.31907440287837,169.3342750207153,0.0,0.0,0.0,0.0
