energy,time_ms,violated,priority
0.000175993936879761,2.215066817749898,0,1
0.0020040567805473027,24.930361627742712,0,2
0.0013886540011097536,28.429234122497558,0,2
0.09874269773159325,1043.108238578604,0,3
0.0016196885323871478,17.035973946114726,0,2
0.0009475645514915889,39.580455309527665,0,2
0.003740628753713853,67.70620302254497,0,3
0.0008354069183362663,12.050419779420391,0,2
0.0010485880284172753,59.45888364328307,0,3
0.0002468020989695329,12.26652581612593,0,2
0.0002506400958335952,18.53561559202487,0,2
0.0002611597735919113,4.788625398859389,0,1
0.0008393584352935233,32.63994224360372,0,2
0.00031381597482150846,3.4382687372957843,0,1
0.0007128750540725961,11.384774826451626,0,2
0.0026491382913830562,28.741656639364127,0,2
0.007935490461764845,86.94378539943254,0,3
0.0017270277096442562,18.921870965589886,0,2
0.0006605376957465128,33.8773881346547,0,2
0.002260917812931412,22.92087182812856,0,2
0.0026786505945423,46.46962622575381,0,3
0.009601046116384342,100.97151656473632,0,3
0.0005723252059561702,11.716933996036227,0,2
0.001249127847414635,24.729123212709172,0,2
0.001205984343899548,23.60484772598473,0,2
0.0008203989980229794,12.987015499025464,0,2
0.00026994954480423836,12.362876906672769,0,2
0.001948088754563048,24.220160433495433,0,2
8.983497824073513e-05,6.035165216568964,0,1
0.000996758906758381,30.819663082402304,0,2
0.04524234867244879,314.54741039793055,0,3
0.0009502801701005297,47.230701390954,0,2
0.0030328624281211274,138.89597369362002,0,3
0.0043776327907000265,69.2984572614884,0,3
0.0007539830138729663,34.53015339215819,0,2
0.0006579960194084357,13.470830655069271,0,2
0.0072202935716673845,89.82007473409769,0,3
0.0003613777829301038,5.715505760484918,0,1
0.0003080823294162508,10.234529507852152,0,2
0.0032647226080835937,162.26281835427602,0,3
0.0038391039603392963,55.377581012924054,0,3
0.0005005427960156088,8.214249165981586,0,2
0.0004947381599238841,28.05351376098313,0,2
0.001918114814432359,20.582166780536816,0,2
0.0024816109722229913,145.8012680218643,0,3
0.0006921851063789508,35.50050763314179,0,2
0.00024115153278016498,10.669570802934967,0,2
0.0023476470406568473,91.29242120335664,0,3
0.0011517790285208902,18.39416993851519,0,2
0.0003941855762928406,13.94291298948396,0,2
0.0024283540216238748,26.605827572623653,0,2
0.0002767079184308245,13.939286184275527,0,2
0.0007448306704786765,22.338981423037758,0,2
0.0026958491796648092,31.323736252574736,0,2
0.002907006716640188,164.8382104608278,0,3
0.0018038628833427278,39.15379156216557,0,3
0.003709339043872239,80.89027637053861,0,3
0.0016965429459985097,33.206598496459435,0,2
0.0013919470542155274,36.431601480609146,0,2
0.11390375571925217,1321.92676572439,0,3
0.00033654175008416144,20.878116066153826,0,2
0.0023106165623161413,77.58756263188843,0,3
0.13407696570885602,1584.9062234796243,0,3
0.11064893445233807,576.313664702139,0,3
0.0016597196157560569,55.73127179083551,0,3
0.000671650052642409,33.38226354046328,0,2
0.00045373040298228763,5.669248015116783,0,2
0.001208964291145249,15.030788007640211,0,2
0.003111944855003447,57.06061836232519,0,3
0.0006245582227244788,41.95817859952166,0,2
0.00032172232690850985,12.31975592560954,0,2
0.0014897722517671253,87.52809598390063,0,3
0.004230486679451948,61.0231244674972,0,3
0.005411723581147391,107.13649488185256,0,3
0.0003074425509252357,11.772938561465752,0,2
0.002229447267503787,144.16113777126083,0,3
0.0035749406767772696,110.53672703680037,0,3
3.2417345931519065e-05,1.8381853955319225,0,1
0.0011598919291758213,38.94769438116663,0,2
0.004855107984342906,89.65593675276972,0,3
0.0022221868403052092,23.835654717706305,0,2
0.00031997222943515286,10.744260123747956,0,2
0.0003815239282184351,12.811087810493168,0,2
6.733374734032458e-05,1.797591517350298,0,1
0.0036000282641089096,76.74058199645025,0,3
0.0013611724510233032,21.73822995535968,0,2
0.0019205794323653412,35.466018196116785,0,2
0.0030716137016271404,157.53567168054457,0,3
0.0007774362290999384,35.60424008168021,0,2
0.00254843694361007,107.52855329947012,0,3
0.0033344042679887553,66.01157291844967,0,3
0.0004801006730787529,12.817122638942891,0,2
0.0011554441715863205,25.1969952772979,0,2
0.0014864601217298842,24.39382588737493,0,2
0.0005339033904771686,12.850006991280766,0,2
0.0007397240605641339,16.131306140865885,0,2
0.000291906468374319,9.801847596445588,0,2
0.001080688730420477,32.75818256662167,0,2
0.00039197103932431975,9.433973796636693,0,2
0.0006850862748204142,18.289569865254958,0,2
0.001540134108687672,62.63478409832685,0,3
0.0003498915053757373,20.55705979900761,0,2
0.00043787748172478645,21.76332963254242,0,2
0.0013866290014526313,33.38858384713935,0,2
0.0007090659900533204,13.093833497168738,0,2
0.00021495130970769784,9.84412322225424,0,2
0.001345966227000084,40.36825513867167,0,2
0.0002239624755587277,5.936117071438086,0,1
0.0008064350820889565,10.032010280809269,0,2
0.0014937704674494207,15.143638229228516,0,2
0.0011931023094743439,39.634992423416875,0,2
0.0003063173565032582,13.552784366329371,0,2
0.11087807770730658,893.2033987272397,0,3
0.0003723336218836067,17.051759575667194,0,2
0.001982990141080336,32.54222264745352,0,2
0.00011172948881979185,6.335482091367022,0,1
0.0006189675397618772,6.639179159753243,0,2
0.0033780990032417145,149.46148622355378,0,3
0.0037552853497844385,67.97149063447097,0,3
0.0009661470069550534,25.60769042759051,0,2
0.004496171318637692,134.8492906411781,0,3
0.14560144675422151,495.7868363605134,0,3
0.0007749581190542147,52.062129651554244,0,2
0.00034394827723336263,12.165947185203445,0,2
0.02573096133350375,202.50146643448477,0,3
0.0005498830143977544,6.920849890805679,0,2
0.0006679346360963906,7.025373601599269,0,2
0.0005518934129132052,34.237935495569694,0,2
0.000667565760975208,33.17926660735173,0,2
0.0005003738963478422,9.174855361613488,0,2
0.0011993892904698916,21.709209908359878,0,2
0.002175220086206386,30.876436583468653,0,2
0.001136817012758644,35.150242533079684,0,2
0.0010416069963686434,12.957536605507492,0,2
0.002782358021549762,84.3397265743379,0,3
0.0004828834841728162,24.3254732922567,0,2
0.0011838004514112034,13.754869298843326,0,2
0.0006654807344032924,39.098769310004016,0,2
0.07654033160623508,331.2525351442994,0,3
0.0010110138498560836,46.30139230564787,0,2
0.001672193585268965,30.267071615917633,0,2
0.0007894103982037019,46.37996782575566,0,2
0.0023692724206977314,153.202550621563,0,3
0.000517618343722824,5.44433848938638,0,2
0.003682146873579321,63.8784279189635,0,3
0.0012719570505581358,49.462307067949766,0,3
0.08604015778265499,474.05398574222914,0,3
0.004527033607997843,119.98885713496804,0,3
0.0012453044712567455,13.510851298608502,0,2
0.0004108105770892846,9.89189133075106,0,2
0.005140362748755768,100.61281521148084,0,3
0.0038543428279911736,116.8340730124554,0,3
0.0014645907836867951,26.509415254532897,0,2
0.0010842837161398181,23.5349476991942,0,2
0.00017686677177740237,5.875533978674515,0,1
0.001715827401719529,33.75004124443649,0,2
0.000935310798726137,31.071129547459474,0,2
5.316857982811524e-05,3.9106038364748454,0,1
0.0007015832175079892,43.52427549192449,0,2
0.0012757910866111927,30.71972216225565,0,2
0.002115691526751186,156.4619767668786,0,3
0.0018211240080178845,19.53376838793529,0,2
0.0011776615536018534,12.386709631717437,0,2
0.2314765945765403,493.44638609072194,0,3
0.0044201756216827185,133.9857776950029,0,3
0.002077608269611432,32.85919221905231,0,2
0.0004246088855408468,17.915914809973614,0,2
0.0007035347324860153,7.632955131392231,0,2
0.0005532565728601497,25.33748635522899,0,2
0.003442633810605732,36.20981363438731,0,3
0.009339409069566972,100.2157293479703,0,3
0.0013283827009487952,14.412203243798384,0,2
0.000479702713479801,9.820719012666979,0,2
0.0004264480979420763,16.330033827838285,0,2
0.0024439404830194763,81.18797672132213,0,3
0.008095416306258294,94.0626379045272,0,3
0.0005714461974412536,32.40314789149493,0,2
0.05560831654727529,389.48398884499875,0,3
0.0036637659930502044,40.14139841617962,0,3
0.11036533424716037,528.7319562201794,0,3
0.00011819550583636382,1.2431868953276308,0,1
0.00026873192623619085,18.05356449751798,0,2
0.0015861459849007768,18.429821246635846,0,2
0.005461545469346872,58.49699244857006,0,3
0.0008898026214834946,26.97198175784972,0,2
0.003827880760825933,47.618636638233184,0,3
0.0002702162452487726,11.955517460522467,0,2
0.0005562983652364134,37.37244233434465,0,2
0.0013102566696493983,43.526873397106655,0,2
0.0043136890029865866,130.7579212383219,0,3
0.0036878693450572665,58.896102259422,0,3
0.00021532756349250317,5.635794807849615,0,1
0.000626257106959512,22.151618112215072,0,2
0.0007811632226767532,9.831751959614444,0,2
0.13507655076196748,874.7137772671869,0,3
0.00041866965411216736,28.126466808503956,0,2
0.0017302978271507745,18.566812680062107,0,2
0.0010755767197167718,47.58809464200323,0,2
0.0009190783022209922,53.99830326957537,0,2
0.0006943208362084035,16.71094014124158,0,2
0.002123577476047467,33.616488636956305,0,2
0.0003683041651453007,5.825052554228836,0,1
0.006798330157325673,72.92035365699887,0,3
0.0005428173535489835,20.786177236031588,0,2
0.0031740990062552855,162.79189621601512,0,3
0.0025633027557008525,32.2618323032285,0,2
0.004358782312124185,47.29033021352835,0,3
9.488997234578996e-05,7.017408946839712,0,1
0.004444415316936043,81.49279568229339,0,3
0.0006589606887019145,25.233669442182634,0,2
0.0014505475932815425,29.69635136057701,0,2
0.0010745899867456237,82.14996869261726,0,3
0.0015456073599501088,24.467151699906942,0,2
0.0037527242854837957,65.10281528694063,0,3
0.0005676776999290697,25.116479015548954,0,2
0.0014886243836916458,32.4627208202129,0,2
0.0026950792262039423,81.69410380466142,0,3
0.0009031569887347407,16.560285820168488,0,2
0.0005956866816666115,29.606741958413853,0,2
0.0012369928620317894,26.849579938209317,0,2
0.0021102083303807073,137.7277837156973,0,3
0.0006654762164964741,30.476808378507986,0,2
0.004424605537980622,72.61079899553975,0,3
0.0006476765843388651,19.632579850854405,0,2
0.0007589616578359326,38.92531618921557,0,2
0.00155525524206258,25.52280080083833,0,2
0.19030648771460176,538.5711207868798,0,3
0.0009962601387641368,12.538970457436962,0,2
0.0018705709925893104,34.54254676600166,0,2
0.0015471734786696087,51.952115784345686,0,3
0.24293156891405807,687.5193176447787,0,3
0.0006414188196303633,47.43491912025181,0,2
0.0015818670542009164,17.162365539334917,0,2
0.001148668864429093,57.86471208718494,0,3
0.10841920113450855,1298.0873823673705,0,3
0.0021263652966198223,23.297141987742837,0,2
0.0002438733236990139,5.872215933659916,0,1
0.006255668404603069,67.87047468214712,0,3
0.01851912785456213,328.8642029173633,0,3
0.0008926207487951918,45.78036917303439,0,2
0.0010007367506311817,38.321345714591224,0,2
0.0007040431840858727,43.67688499050547,0,2
0.033856001103483815,211.77384796062276,0,3
0.0008113748520245128,52.956316456123155,0,2
0.0016640781659690523,32.73214233502617,0,2
0.0013245988744817938,20.968560608121194,0,2
0.005616299897805185,88.8266958700254,0,3
0.055365962982719244,297.9502530108064,0,3
0.05085471584438992,357.1907764341971,0,3
0.0004938894183598727,5.2975642872306175,0,2
0.0011310532649162841,33.92257982232812,0,2
0.001317726340563916,14.296587742635696,0,2
0.0028108713133287314,55.28937389773374,0,3
0.007306639517866929,115.66498849096821,0,3
0.0003048766977951058,10.237371388643513,0,2
0.002260370699833807,75.08976795250511,0,3
0.0007774630805559579,9.033535208552376,0,2
0.0005930277898478823,10.287933705076886,0,2
0.0010926092731660668,28.959568082430486,0,2
0.00010306733242831864,4.191583108135273,0,1
0.003174270402519403,62.841384936558875,0,3
0.00045265536578031093,28.08148249768496,0,2
0.0017823335072312762,30.92018498397192,0,2
0.0013579678089095234,29.61346753849594,0,2
0.001280515865326892,20.270721234209184,0,2
0.0005124668853108504,5.390155163681448,0,2
7.732942090225511e-05,2.0644434113093957,0,1
0.0021403945561863148,30.382101193698624,0,2
0.0015625692121833004,16.952994835300647,0,2
0.0024544673704137267,30.53344582941302,0,2
0.002518983747312555,27.019162273596,0,2
0.36585625842056296,2206.482315383847,0,3
0.0050928954864430526,100.17641200321269,0,3
0.001144832405061283,38.031460789542464,0,2
