episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
28,-4047.7586678447815,-3556.884082155928,-3846.8148819087783,-3697.088685019239,-3764.186423276831,-3782.546548041112,163.11442380849633
29,-3888.9786515938185,-3875.330223315515,-3596.7371750713764,-3742.7717007686156,-3428.6774745188904,-3706.4990450536425,174.55713807539735
30,-4040.8931953790934,-3653.5199888947345,-4203.644660717266,-3664.454549851069,-4039.9655141082008,-3920.4955817900727,221.70928181812974
31,-3867.760873552239,-3138.257710328633,-3403.5817881531802,-3460.4856645705468,-3607.5299476864457,-3495.5231968582093,240.1773841769273
32,-3985.610499025701,-3280.4051882419267,-3776.495581047277,-3371.3344941251376,-3988.9232030685534,-3680.5537931017193,301.028767508184
33,-3931.68933150399,-3867.077809628163,-3713.5178284977073,-3631.908873961395,-3540.7092415969933,-3736.9806170376496,144.87911475819254
34,-3745.3877723153582,-3594.5356474582013,-3688.692491079221,-3686.6775709812723,-3477.450114979472,-3638.548719362705,93.9524116439769
35,-4185.499707619061,-4013.275380617881,-3636.455005825244,-4085.1195297424088,-4353.945626490957,-4054.8590500591104,238.42256773868326
36,-3953.797227913774,-3610.0973446423195,-4281.520030967492,-4015.450492097364,-3484.545608923953,-3869.0821409089804,287.62712753845335
37,-3636.083745876221,-4053.1822691370558,-4088.079986479095,-3848.2888879780653,-3756.2170059283158,-3876.370379079751,172.65368322122217
38,-4402.404931891569,-3624.418341995761,-4010.077754644382,-3629.696041376767,-3568.4274703507117,-3847.004908051838,319.1975098578728
39,-3522.8411019608748,-3677.3749944720676,-3262.322541413246,-3963.3039255037784,-3733.0015863182402,-3631.7688299336414,232.6367652915736
40,-3355.7480987651884,-3946.7768621006135,-3620.2025339369015,-3791.702761916387,-3802.2342765523113,-3703.33290665428,202.27779377555822
41,-3549.273796214401,-3879.1659300028778,-4129.709307652553,-3640.2973983535326,-4247.332745237342,-3889.1558354921413,269.7060593362347
42,-3332.7441576148285,-3531.7868266708983,-4248.824092851,-3902.441424854656,-4178.679378878049,-3838.8951761738863,357.22193067604206
43,-3836.070138285014,-3737.5363902240824,-3552.4360894369584,-3447.7433269554185,-4279.959489695354,-3770.7490869193657,288.6722858565441
44,-3760.486525438968,-3218.745084907227,-3755.5418119604824,-3449.522394777678,-3846.2885317809173,-3606.1168697730545,235.9741343787333
45,-3872.026851656349,-3938.3606845283525,-3672.1961612538134,-3214.3780855329214,-3638.0580050326453,-3667.0039576008166,253.5365328901565
46,-3641.2319684083177,-3259.1035086977618,-3395.7886900397975,-3548.2972344707296,-3942.520402015192,-3557.3883607263597,232.60584466807902
47,-4129.385516671096,-3129.6016855215576,-4071.5578973792253,-3602.9944467179475,-3987.6863719009334,-3784.2451836381524,375.3581493202387
48,-3733.711987680059,-3834.270796793511,-4119.0452164047,-3414.867011798414,-3748.2273923597522,-3770.0244810072872,225.33246592954796
49,-3725.1238402909,-3778.5189769918275,-3447.970896036826,-3645.179578898814,-3934.276020578167,-3706.213862559307,160.00786123900872
50,-4022.97552069185,-3530.7753901305687,-3810.2676306534527,-3047.3244088846936,-4350.375098320529,-3752.3436097362187,442.80538259457137
51,-3483.4521740602154,-3865.6799785539106,-3676.7979233372557,-3607.957513211003,-3504.732841304842,-3627.724086093445,138.10372663934854
52,-3264.0037519820753,-3780.418376414385,-3860.0489235228824,-3482.230484782778,-4011.7027474687934,-3679.680856834183,270.07159351336463
