energy,time_ms,violated,priority
0.05826182239805683,1192.7657919352507,0,3
0.04015404480662541,871.5646378970141,1,2
0.015620567115959789,518.9169900805177,1,2
0.017041397684064957,966.3113201331669,0,3
0.003793138520762171,74.24346562961344,0,2
0.03506412616889134,647.5050788215848,1,2
0.026556227406941742,1016.9211540346199,1,2
0.006039354024144057,131.08735193512763,0,3
0.012893775936960991,238.1004837866676,1,2
0.04123347119572276,1369.7805338702956,0,3
0.007956499656030576,451.16344497067297,0,3
0.047014646659416535,1453.6871054342603,1,2
0.041506147442021094,522.3980528049005,0,3
0.006027518666920161,119.3274588263149,1,2
0.05040530157645842,530.1657616461712,0,3
0.015444720339317248,513.0753404545272,0,3
0.002859056779068738,218.56841008003047,1,2
0.023836756964248952,466.5591400656436,0,3
0.004370803186293375,293.6330578018151,1,2
0.030346783949120024,332.48912388566384,0,3
0.016478751014678814,1259.763162365809,0,3
0.035722841626039885,1082.8422050158852,0,3
0.020446778400537487,679.2442697941269,0,3
0.005480551960172446,112.20065953919429,1,2
0.031002073929942968,572.4939565569395,1,2
0.023789422389989906,1182.3787768253908,0,3
0.012417126206869565,834.1896401714192,1,2
0.0016687343578628063,34.163182268603,0,2
0.024917214043043482,954.1581969340981,1,2
0.08984347545202677,974.7510468323486,1,2
0.0048064688300149625,94.07747737863289,0,2
0.057854578971772284,1255.76403112189,1,2
0.014248076621183253,291.6939034022833,0,3
0.0064495639470124756,199.41972580087196,1,2
0.0617379930816973,777.0368814646757,1,1
0.016236072178800635,806.9631472555984,0,3
0.05193351220718983,563.4493226686151,1,1
0.007555681483969832,79.47107751410842,0,3
0.01344823198830509,407.64711083807964,0,3
0.026780625242615357,811.7828809083026,1,2
0.07493960125799642,813.052415970212,1,2
0.0010885572661315439,21.55028951918105,0,1
0.0208151858719795,1222.9477255763434,0,3
0.013640266670854268,270.03787951402416,1,2
0.0003725678485414098,21.889355483005296,0,2
0.055664872003057975,1089.5339014683425,1,2
0.008808828702953407,337.31765107415407,1,2
0.010789468300280929,494.1251839544747,1,2
0.007579295060058679,347.1089085733005,0,3
0.0766832562793551,806.5587487694052,1,2
0.033038910577480166,1394.0412635654293,0,3
0.028178148259658906,871.264886383586,1,2
0.012510514945989227,956.4005097925979,1,2
0.018238416388384186,769.5503448235871,1,2
0.047006393997789525,509.9928684484737,0,3
0.034579918780480744,363.71350640780014,1,2
0.030179741479805254,1155.6768611676987,0,3
0.016018896434490483,613.4137352757026,1,2
0.04704589392086193,494.8313253328067,1,2
0.025473104657595308,1074.8102277928356,1,2
0.027280994309832357,592.1483138654145,1,2
0.041212785684716674,518.7057898456046,1,2
0.021981038624754153,430.23698626018705,1,2
0.0068812999920316855,72.37789552468742,0,2
0.03989602400406912,1325.3503882851553,0,3
0.020883667121032547,881.1638517260217,1,2
0.006586395858179289,69.27607746494822,0,2
0.003634078823733146,244.1394937781494,0,3
0.027676062533761595,855.7404573509298,1,2
0.02006520692606189,392.7382278849188,1,2
0.008579700818906882,158.4354285132772,0,3
0.07065814513655146,889.3062765148596,0,3
0.007305383775984983,225.88156989309192,1,2
0.012764463343700959,252.69950343658664,1,2
0.053984764604133775,1068.7424015626696,1,2
0.019905659139010788,1337.2735653890547,1,2
0.017260082231746306,353.35722098358303,1,2
0.02434139819847393,1380.248795499254,0,3
0.015501760497175759,336.4738556116257,1,2
0.012739525798925365,252.2058120833321,1,2
0.024711998171354298,764.0919509924182,1,2
0.013158626719777638,773.1044400772294,0,3
0.02351186002675537,465.4669133868138,1,2
0.05920541949904262,1172.096288368125,0,3
0.07375058574369724,775.7127571858432,1,2
0.03079868772566969,1530.752370693434,1,2
0.04534714647273415,1374.577212858675,1,2
0.022179570138387183,935.8430844305852,0,3
0.0032330673958619253,160.68949511450904,1,2
0.081908496589924,888.6610006324187,1,2
0.025278765532278327,494.78371266484965,1,2
0.010624382806831026,713.7521132523095,1,2
0.0007002634799444789,32.069960373780134,0,3
0.008551581705713011,327.46685753722033,1,2
0.04103253072770301,803.1336762692627,1,2
0.05115684763340187,1001.2979062590846,0,3
0.05040790135031467,530.1931062119905,1,2
0.01739664578805584,986.4552232745875,1,2
0.0013767912923403887,105.25257349974243,0,3
0.0024565432019134237,187.79715949188412,1,2
0.058337883870939244,1266.254417867855,1,2
0.03167455072112138,687.5127639756407,1,2
0.01670569775512055,1277.112726247976,1,1
0.010480140631796734,520.8825863042384,1,2
0.004740596905606382,217.10507439701883,0,3
0.004645764764493557,263.4323290749635,0,3
0.007822390717329276,525.5126821662741,1,2
0.061616575792330694,1261.446017241797,1,2
0.03208377588042983,992.0264131493184,0,3
0.0009261461837916814,17.102503990770447,0,3
0.025076201591606628,1684.6335644873775,1,2
0.02592860309593585,272.7184875171608,0,3
0.036866533777546846,464.0036873082234,0,3
0.004556924206962882,226.48765411731682,0,3
0.025222679335004015,547.471505978348,1,1
0.043149209258575724,1433.421567001714,0,3
0.030428541451017865,1512.3554087035768,1,2
0.08141340751466378,891.9914737087654,1,2
0.015022940675397603,499.06377275320256,0,3
0.005402159783668211,317.3913056203113,1,2
0.0023470238635748047,29.539737407110465,0,2
0.02507069495946891,1057.830983797137,0,3
0.03230079854792118,1605.410087369112,0,3
0.02227411371257013,1496.3876982056138,0,3
0.04723229859742519,872.2063421441713,1,2
0.04593044185857274,483.0989385860218,1,2
0.033408820958567204,683.9624499901923,1,1
0.005686829634230829,434.74523508927837,1,1
0.025258345301910713,780.9849372257157,1,2
0.00689797415893278,136.55996321544666,0,3
0.020747249067352726,406.08790441207594,0,3
0.005448328840600152,59.693642854852435,0,2
0.008824182460976349,372.3268792106029,1,2
0.034797598469712886,377.53432138448284,1,1
0.05032082083316276,1030.1935511358306,0,3
0.028562648709099324,565.457939850241,1,2
0.01714665023248282,852.2205792212361,1,2
0.029731711669106327,901.2371568784581,0,3
0.007200618975577026,483.741700952109,0,3
0.01783852516980116,1198.4023231037736,1,2
0.020153476568494377,1184.070537898707,1,2
0.009209942525679247,199.90664106450072,1,2
0.02489119708854985,754.5099301731626,0,3
0.016310345808519002,171.5531231406131,0,3
0.022618537175592424,699.3623938968514,1,1
0.015535801350064658,1043.7040199217188,1,2
0.07636670298322853,836.698155939738,1,2
0.06477419184522488,681.2985475852742,1,2
0.03172757204206391,981.0126341776325,0,3
0.03429608779131919,678.9634723625699,0,3
0.06556885098965536,689.656816604199,1,2
0.0019990697412251225,117.45068280128983,0,3
0.00920208424988167,618.2012827564804,0,3
0.03673004175611433,1549.784569936924,0,3
0.019961493899014374,1172.7910436662437,1,2
0.020568490283161923,216.34052323530602,1,2
0.045963025489585946,483.4416550268134,1,2
0.023011536566739734,1545.9281872950783,1,1
0.06118297814329743,643.5259624013823,1,2
0.03318622724563549,349.05458143439716,1,2
0.0449412612279397,975.473685338456,1,2
0.028678425190150982,622.4802852784176,0,3
0.03667755179442193,1547.5698125117185,1,2
0.014051437492497293,538.0735678961878,1,2
0.02074242378453632,1218.6727587375124,0,3
0.045652916253496316,1411.5825683842618,0,3
0.010483493144372894,324.1483215705714,1,1
0.0643331821658182,704.8550321165073,1,2
0.02143027723013211,711.9162111271348,0,3
0.02390887907967506,1355.7233352982878,1,2
0.08162958469989844,1027.3932592290528,0,3
0.09666668507912443,1016.7455628262794,0,3
0.010057019717901725,334.09532204896004,1,2
0.01017730196336634,308.4976333767038,0,3
0.0019784181336793046,38.72376869572094,0,2
0.008386932974286934,105.558278105499,1,2
0.007777282428181794,522.482281503046,1,2
0.026365728783834825,516.0589490860526,1,2
0.060558150233235776,1198.8764494771078,0,3
0.023108718536719825,473.09349127017236,1,2
0.03518194502858575,763.6426000673424,1,2
0.004256361509079315,241.35170043290412,1,2
0.013312617934620527,561.7115819669867,1,2
0.03975383797406465,500.34341486841805,0,3
0.0022548899437812592,44.640307528390395,0,3
0.017416553142667532,378.0354359394073,1,2
0.09185681094762102,1006.4127601169146,1,2
0.02218173535297333,935.934443329072,0,3
0.05348273125718723,580.2574757722195,1,2
0.036126602087011364,1117.0301033523624,1,2
0.006854077583096954,86.26569806762141,0,3
0.04503047776362168,1392.3368466581899,1,2
0.021729081295736977,1232.120605447662,1,2
0.0354990682093903,1625.7505116096136,0,3
0.008407713681449276,476.74897666521537,0,3
0.07506017668349547,814.3605913456205,1,2
0.04096011329007929,1241.5960593795235,1,2
0.02936529878882545,542.2687568283698,1,2
0.006932367233802353,465.7203955213426,1,2
0.03363088858749479,1540.1935060521582,1,2
0.08479292164353296,891.8566595055046,1,2
0.014308394669126033,655.2814236259483,0,3
0.008323257701875255,257.3541067759799,0,3
0.024362044942948063,1210.8391884591845,1,2
0.0261154495200396,807.4864944730406,1,2
0.02292183212496514,448.65122805893986,0,3
0.0062846895918949415,68.18533819951156,1,1
0.006612648640101091,253.2190353423197,0,3
0.015557745800187489,773.2490578302709,1,2
0.03564347386938189,1184.0801962571234,0,3
0.01953818073860836,360.798133061902,1,2
0.0263929288293871,876.7760533842408,1,2
0.027356573258084785,1154.2811577302723,1,2
0.08300197179582575,900.5245900169043,0,3
0.019306925131507502,1134.333381535374,1,2
0.022351548334898316,281.3174926349399,1,2
0.004095064016695225,51.54064157414925,0,3
0.05730615103821568,1173.2007996395619,0,3
0.047518676997909626,520.6299062770689,1,2
0.059555790478098794,652.5123924690354,0,3
0.021476817539781937,822.4146352895374,1,1
0.03254063300549738,1006.1523793944236,1,2
0.03701975928943647,401.6435132245957,0,3
0.014524757643742978,612.8565120566208,1,2
0.025205797592310224,1480.9078826602863,1,2
0.011738057885290205,495.27471578822616,0,3
0.011376845104478341,480.0337313678083,0,3
0.004370419688724795,86.52168566845711,0,3
0.02671702259255034,579.9070114530617,1,2
0.03633878888637629,1533.276076304117,1,2
0.015605345943494116,916.855724748483,1,2
0.011932243756821774,396.3904747652021,1,2
0.05844360372848296,1196.4873121970681,1,2
0.0021561736469424076,98.74626536559425,0,3
0.02416736974810326,1419.8974752558736,1,2
0.007015489045006345,471.30456633699345,1,2
0.01965730091582482,362.9978433688485,1,2
0.018711378001804543,1430.442434792426,0,3
0.06102539735667087,1194.4559805511972,1,2
0.0010221340355007513,11.08957791419515,0,1
0.020444712756568183,1562.9519478104044,1,1
0.007627577047008379,321.837401981467,1,2
0.04085023990649904,886.6759182935264,1,2
0.017556625181930175,872.5971008244082,1,2
0.0021655480983087077,107.6317898627167,1,2
0.06957213041668292,762.2546338974681,0,3
0.018531136706042745,1416.6633962878977,1,2
0.05918944181223003,1093.0106742553223,1,2
0.020134505124796524,1182.9559149467968,1,2
0.052913444231860826,1083.2710618290268,0,3
